Simulation_AT2_TP3_TPR3_DOC2
Year	Month	Day	GlobalRadiation	CloudCover	AirTemperature	RelativeHumidity	AirPressure	WindSpeed	Precipitation	InflowQ	InflowT	InflowC	InflowSS	InflowTP	InflowDOP	InflowChla	InflowDOC	InflowDIC	InflowO	InflowNO3	InflowNH4	InflowSO4	InflowFe2	InflowCa2	InflowpH	InflowCH4	InflowFe3	InflowAl3	InflowSiO4	InflowSiO2	Inflowdiatom
2010	1	1	NaN	0.788	-14.12	88	948	0.1	0.6	719.56	0.1775	0	606.2	4	0.01	0.01	121240	112520	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	2	NaN	0.038	-12.15	84	960	0	0	693.96	0.3125	0	605.25	3.9972602739726	0.01	0.01	121050	113780	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	3	NaN	0.662	-16.37	85	954	0	0	670.05	-1.585	0	604.29	3.99452054794521	0.01	0.01	120860	115050	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	4	NaN	0.5	-14.96	85	943	0	0	647.73	0.245	0	603.37	3.99178082191781	0.01	0.01	120670	116330	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	5	NaN	0.462	-16.83	85	948	0	0	626.87	2.6375	0	602.44	3.98904109589041	0.01	0.01	120490	117610	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	6	NaN	0	-17.96	78	954	0	0.6	607.37	3.83	0	601.54	3.98630136986301	0.01	0.01	120310	118900	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	7	NaN	0	-22.27	76	959	0	0	589.14	3.545	0	600.59	3.98356164383562	0.01	0.01	120120	120190	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	8	NaN	0	-22.17	75	969	0	0	572.09	1.58	0	599.65	3.98082191780822	0.01	0.01	119930	121490	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	9	NaN	0	-22.83	77	978	0	0	556.14	1.79	0	598.76	3.97808219178082	0.01	0.01	119750	122790	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	10	NaN	0	-19.27	79	977	0	0	541.2	2.495	0	597.82	3.97534246575342	0.01	0.01	119560	124100	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	11	NaN	0	-17.68	81	972	0	0	527.22	2.285	0	596.88	3.97260273972603	0.01	0.01	119380	125400	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	12	NaN	0.125	-15.34	82	966	0	0	514.12	2	0	595.99	3.96986301369863	0.01	0.01	119200	126720	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	13	NaN	0.962	-13.84	87	961	0	0	501.84	1.7225	0	595.05	3.96712328767123	0.01	0.01	119010	128030	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	14	NaN	1	-11.49	88	960	0	0	490.33	3.9725	0	594.14	3.96438356164384	0.01	0.01	118830	129360	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	15	NaN	0.788	-10.18	86	965	0.4	0	479.54	4.3175	0	593.26	3.96164383561644	0.01	0.01	118650	130680	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	16	NaN	1	-12.9	87	965	0	0.5	469.41	0.5975	0	592.32	3.95890410958904	0.01	0.01	118460	132000	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	17	NaN	1	-9.81	91	958	0	2.3	459.91	-2.71	0	591.42	3.95616438356164	0.01	0.01	118280	133330	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	18	NaN	0.962	-5.59	91	960	0	3.5	450.99	-2.635	0	590.53	3.95342465753425	0.01	0.01	118110	134660	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	19	NaN	0.462	-7.46	88	966	0	0.7	442.61	1.085	0	589.61	3.95068493150685	0.01	0.01	117920	135980	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	20	NaN	1	-11.59	89	968	0	0	434.75	1.79	0	588.73	3.94794520547945	0.01	0.01	117750	137320	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	21	NaN	1	-8.21	90	970	0	3.6	427.34	-1.585	0	587.84	3.94520547945205	0.01	0.01	117570	138650	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	22	NaN	1	-6.9	91	971	0	4	420.39	-2.215	0	586.94	3.94246575342466	0.01	0.01	117390	139980	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	23	NaN	1	-7.46	90	972	0	0.7	413.84	-3.76	0	586.02	3.93972602739726	0.01	0.01	117200	141310	8000	0	0	0	0	0	0	0	0	0	0	0	0
