0,59774
0.5,53501
1,47229
1.5,41694
2,36160
2.5,31363
3,26566
3.5,22507
4,18449
4.5,15128
5,11807
5.5,9224.4
6,6641.6
6.5,4796.7
7,2951.8
7.5,1844.9
8,737.95
8.5,368.98
