Simulation_AT1_TP1_TPR3_DOC3
Year	Month	Day	GlobalRadiation	CloudCover	AirTemperature	RelativeHumidity	AirPressure	WindSpeed	Precipitation	InflowQ	InflowT	InflowC	InflowSS	InflowTP	InflowDOP	InflowChla	InflowDOC	InflowDIC	InflowO	InflowNO3	InflowNH4	InflowSO4	InflowFe2	InflowCa2	InflowpH	InflowCH4	InflowFe3	InflowAl3	InflowSiO4	InflowSiO2	Inflowdiatom
2010	1	1	NaN	0.788	-19.12	88	948	0.1	0.6	719.56	0.1775	0	606.2	0.04	0.01	0.01	1212400	112520	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	2	NaN	0.038	-17.15	84	960	0	0	693.96	0.3125	0	605.25	0.0399753424657534	0.01	0.01	1210500	113780	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	3	NaN	0.662	-21.37	85	954	0	0	670.05	-1.585	0	604.29	0.0399506849315069	0.01	0.01	1208600	115050	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	4	NaN	0.5	-19.96	85	943	0	0	647.73	0.245	0	603.37	0.0399260273972603	0.01	0.01	1206700	116330	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	5	NaN	0.462	-21.83	85	948	0	0	626.87	2.6375	0	602.44	0.0399013698630137	0.01	0.01	1204900	117610	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	6	NaN	0	-22.96	78	954	0	0.6	607.37	3.83	0	601.54	0.0398767123287671	0.01	0.01	1203100	118900	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	7	NaN	0	-27.27	76	959	0	0	589.14	3.545	0	600.59	0.0398520547945205	0.01	0.01	1201200	120190	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	8	NaN	0	-27.17	75	969	0	0	572.09	1.58	0	599.65	0.039827397260274	0.01	0.01	1199300	121490	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	9	NaN	0	-27.83	77	978	0	0	556.14	1.79	0	598.76	0.0398027397260274	0.01	0.01	1197500	122790	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	10	NaN	0	-24.27	79	977	0	0	541.2	2.495	0	597.82	0.0397780821917808	0.01	0.01	1195600	124100	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	11	NaN	0	-22.68	81	972	0	0	527.22	2.285	0	596.88	0.0397534246575342	0.01	0.01	1193800	125400	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	12	NaN	0.125	-20.34	82	966	0	0	514.12	2	0	595.99	0.0397287671232877	0.01	0.01	1192000	126720	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	13	NaN	0.962	-18.84	87	961	0	0	501.84	1.7225	0	595.05	0.0397041095890411	0.01	0.01	1190100	128030	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	14	NaN	1	-16.49	88	960	0	0	490.33	3.9725	0	594.14	0.0396794520547945	0.01	0.01	1188300	129360	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	15	NaN	0.788	-15.18	86	965	0.4	0	479.54	4.3175	0	593.26	0.0396547945205479	0.01	0.01	1186500	130680	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	16	NaN	1	-17.9	87	965	0	0.5	469.41	0.5975	0	592.32	0.0396301369863014	0.01	0.01	1184600	132000	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	17	NaN	1	-14.81	91	958	0	2.3	459.91	-2.71	0	591.42	0.0396054794520548	0.01	0.01	1182800	133330	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	18	NaN	0.962	-10.59	91	960	0	3.5	450.99	-2.635	0	590.53	0.0395808219178082	0.01	0.01	1181100	134660	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	19	NaN	0.462	-12.46	88	966	0	0.7	442.61	1.085	0	589.61	0.0395561643835616	0.01	0.01	1179200	135980	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	20	NaN	1	-16.59	89	968	0	0	434.75	1.79	0	588.73	0.0395315068493151	0.01	0.01	1177500	137320	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	21	NaN	1	-13.21	90	970	0	3.6	427.34	-1.585	0	587.84	0.0395068493150685	0.01	0.01	1175700	138650	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	22	NaN	1	-11.9	91	971	0	4	420.39	-2.215	0	586.94	0.0394821917808219	0.01	0.01	1173900	139980	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	23	NaN	1	-12.46	90	972	0	0.7	413.84	-3.76	0	586.02	0.0394575342465753	0.01	0.01	1172000	141310	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	24	NaN	1	-12.28	91	972	0	0	407.68	-0.04	0	585.16	0.0394328767123288	0.01	0.01	1170300	142650	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	25	NaN	0	-12.65	91	975	0	0.1	401.87	-0.3175	0	584.25	0.0394082191780822	0.01	0.01	1168500	143980	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	26	NaN	1	-16.96	87	974	0	0	396.41	0.455	0	583.37	0.0393835616438356	0.01	0.01	1166700	145300	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	27	NaN	0.712	-15.56	91	943	0	1.5	391.26	3.8975	0	582.51	0.039358904109589	0.01	0.01	1165000	146640	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	28	NaN	0.662	-15.18	84	928	0.1	0	386.4	3.6875	0	581.61	0.0393342465753425	0.01	0.01	1163200	147970	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	29	NaN	0.912	-11.72	90	925	0.3	0	381.82	2.3525	0	580.7	0.0393095890410959	0.01	0.01	1161400	149300	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	30	NaN	1	-14.06	84	928	0.6	0.9	377.49	-2.4925	0	579.86	0.0392849315068493	0.01	0.01	1159700	150630	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	1	31	NaN	0.662	-17.71	80	935	0.3	3	373.4	2.705	0	578.99	0.0392602739726027	0.01	0.01	1158000	151960	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	1	NaN	0.162	-22.58	78	942	0	0.9	369.54	-1.2325	0	578.12	0.0392356164383562	0.01	0.01	1156200	153290	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	2	NaN	1	-25.58	80	939	0	0	365.89	1.085	0	577.27	0.0392109589041096	0.01	0.01	1154500	154620	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	3	NaN	1	-17.71	85	NaN	0.2	0.6	362.43	2.8475	0	576.4	0.039186301369863	0.01	0.01	1152800	155940	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	4	NaN	0.712	-12.09	93	950	0.4	0.4	359.16	3.1925	0	575.52	0.0391616438356164	0.01	0.01	1151000	157270	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	5	NaN	0.962	-13.12	93	956	0.4	0.1	356.05	1.16	0	574.69	0.0391369863013699	0.01	0.01	1149400	158590	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	6	NaN	1	-10.22	94	963	0.2	0.2	353.12	2.6375	0	573.85	0.0391123287671233	0.01	0.01	1147700	159910	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	7	NaN	0.212	-11.62	89	964	0.4	0.9	350.33	-0.04	0	572.97	0.0390876712328767	0.01	0.01	1145900	161240	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	8	NaN	0.25	-16.21	88	953	0.3	0	347.68	-7.06	0	572.12	0.0390630136986301	0.01	0.01	1144200	162560	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	9	NaN	0.662	-18.27	90	950	0.5	0	345.15	-7.555	0	571.3	0.0390383561643836	0.01	0.01	1142600	163870	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	10	NaN	0.338	-14.81	86	958	0.3	0.2	342.75	-2.635	0	570.49	0.039013698630137	0.01	0.01	1141000	165190	8000	0	0	0	0	0	0	0	0	0	0	0	0
2010	2	11	NaN	0.088	-19.4	89	956	0.3	0	340.48	0.875	0	569.62	0.0389890410958904	0.01	0.01	1139200	166500	8000	0	0	0	0	0	0	0	0	0	0	0	0
